year,month,rtgs_vol,rtgs_val,neft_vol,neft_val,aeps_vol,aeps_val,upi_vol,upi_val,imps_vol,imps_val,nach_credit_vol,nach_credit_val,nach_debit_vol,nach_debit_val,netc_vol,netc_val,bbps_vol,bbps_val,cts_vol,cts_val,nfs_through_atms_vol,nfs_through_atms_val,aeps_through_micro_atms_or_bcs_vol,aeps_through_micro_atms_or_bcs_val,date,rtgs_growth_%,neft_growth_%,imps_growth_%,aeps_growth_%
2020,6,119.67999999999999,8651977.709999999,2274.0,1906586.11,15.55,232.91,13369.33,261835.51,1989.15,206950.81,2708.4,124105.44,788.96,70491.49,819.25,1511.93,176.42,2969.67,496.38,401440.56,2903.72,118665.23,990.76,19748.97,2020-06-01,,,,
2020,7,124.78,8335279.0600000005,2401.06,1963113.4,16.77,260.8,14973.539999999999,290537.86,2220.99,225775.28,2235.98,107936.72,801.07,68083.42,866.25,1623.46,201.57,3707.4,532.24,433799.37,2839.06,117726.63,743.4,17468.5,2020-07-01,4.2613636363636465,5.5875109938434475,11.655229620692232,7.84565916398714
2020,8,116.77,7292379.7,2346.1,1930552.4,20.35,299.45,16188.27,298307.62,2461.24,235137.0,2971.65,92839.71,791.8,66828.15,968.32,1712.59,212.11,3782.47,519.73,425251.61,2976.69,121710.91,814.3000000000001,19512.86,2020-08-01,-6.419297964417381,-2.2889890298451565,10.817248164107006,21.34764460345857
2020,9,130.09,9489065.74,2468.27,2165514.74,16.23,255.73,18001.67,329031.84,2796.08,248661.75,2239.74,74476.77,857.41,77958.48,1100.85,1940.6100000000001,231.85999999999999,3920.81,612.63,485114.45,3065.76,124333.42,717.66,17095.93,2020-09-01,11.407039479318314,5.207365414943954,13.604524548601526,-20.24570024570025
2020,10,138.19,8496045.74,2761.64,2235388.65,11.57,248.61,20716.19,386106.74,3189.7200000000003,274644.72000000003,1977.77,97283.91,848.36,79022.44,1223.6,2137.16,237.22,3961.44,643.08,524090.34,3399.34,141160.6,720.68,18354.47,2020-10-01,6.226458605580754,11.885652704120698,14.078281022002237,-28.71226124460875
2020,11,137.8,7987655.45,2734.09,2218252.51,10.34,234.67,22102.29,390999.17,3391.16,276459.1,2044.83,99942.73,871.86,79222.08,1248.83,2101.99,239.31,3713.2000000000003,596.35,494300.42,3415.19,143423.48,684.78,18820.4,2020-11-01,-0.2822201317027151,-0.9975956315812273,6.315287862257479,-10.630942091616259
2020,12,163.5,10659120.35,3076.16,2558304.14,9.93,248.47,22341.58,416176.23,3556.93,292324.71,2760.03,126450.43000000001,840.43,81574.46,1384.08,2303.81,262.17,3898.77,719.4,618015.32,3446.06,139109.6,715.05,19670.78,2020-12-01,18.650217706821472,12.511292605583568,4.888297809599074,-3.9651837524178
2021,1,156.66,9170162.32,2874.91,2165869.49,11.4,278.76,23027.28,431181.9,3465.52,288537.52,2339.42,105256.73,839.08,79044.39,1492.26,2402.64,272.38,4051.93,657.01,551206.72,3452.67,140815.28,777.16,21699.8,2021-01-01,-4.183486238532108,-6.542247477374385,-2.5699128180762587,14.803625377643503
2021,2,157.7,9050425.45,2821.11,2152843.71,10.22,277.69,22928.94,425062.76,3189.73,275230.37,1651.5,83642.04000000001,781.07,76185.18,1589.6100000000001,2556.34,282.27,4222.39,636.07,547109.17,3218.53,132140.45,656.55,18381.36,2021-02-01,0.6638580365121882,-1.8713629296221335,-7.958113068168704,-10.350877192982455
2021,3,202.32999999999998,12982214.6,3481.38,3046328.5,13.78,410.84,27316.85,504886.45,3631.44,327236.07,2777.59,175168.89,904.64,85851.4,1932.71,3086.8,352.4,5195.52,806.59,722031.36,3543.31,146207.02,750.42,21896.43,2021-03-01,28.30057070386811,23.404617331475897,13.847880541613232,34.83365949119373
2021,4,151.52,8802867.75,2862.73,2046234.55,14.82,438.27,26410.61,493663.68,3229.68,299542.34,2002.29,106840.63,854.08,78676.47,1643.25,2776.9,351.36,5201.93,557.79,553322.48,3082.4,131346.44,725.35,21700.76,2021-04-01,-25.112440073147813,-17.77025202649525,-11.063379816271235,7.547169811320753
2021,5,123.33,8366599.46,2565.38,1819458.99,18.25,481.13,25291.82,489105.61,2798.61,266289.44,3209.44,132724.69,857.31,70068.77,1164.84,2125.17,392.2,6270.31,366.69,341793.99,2501.79,107260.38,824.36,24138.079999999998,2021-05-01,-18.604804646251328,-10.386938342072071,-13.34714275098461,23.144399460188936
2021,6,154.14,10196989.45,2923.25,2097771.15,18.72,480.33,28075.16,547373.16,3038.45,284110.79,2646.46,100408.87,878.73,86214.75,1578.64,2576.26,454.71,7934.72,511.38,477429.95,2799.55,118259.3,856.89,24186.7,2021-06-01,24.981756263682797,13.949980119904248,8.569968663014848,2.5753424657534163
2021,7,167.66,10741314.09,3169.99,2204302.77,18.52,474.45,32455.02,605883.2,3524.64,311310.38,2222.02,93677.31,877.08,85979.98,1923.34,2976.37,511.27,9612.87,596.11,553256.39,3123.74,128626.32,869.89,22972.73,2021-07-01,8.771246918385888,8.440605490464371,16.001250637660647,-1.0683760683760646
2021,8,166.53,10164295.66,3218.72,2209817.89,23.04,523.78,35555.45,639116.95,3797.12,320203.04,2798.31,108424.17,876.81,84818.43000000001,2011.99,3076.59,588.84,10307.41,588.62,533902.54,3307.8,132638.5,1061.82,26830.11,2021-08-01,-0.6739830609566955,1.537228824065684,7.730718598211439,24.406047516198704
